"Column_1","Column_2","Column_3","Column_4","Column_5","Column_6","Column_7","Column_8","Column_9","Column_10","Column_11","Column_12","Column_13","Column_14","Column_15","Column_16","Column_17","Column_18","Column_19"
"Year","Deforestat","Precipitat","Temperatur","Wind Speed","Forest Typ","Heat Foci ","Number of ","Altitude R","Unnamed: 9","Año","Deforestac","Densidad d","N° Incendi","Unnamed: 1","Unnamed: 1","Departamen","Cantidad","%"
"2010","8","1000","15","2.73","Humid Moun","1","2","1000-3000",,"2011","2024-01-20","4","2",,,"Amazonas","88","3"
"2011","714.333333","950","1017","2.54","Humid Moun","4","2","1000-3000",,"2012","2.27","1","1",,,"Áncash","209","7"
"2011","714.333333","1254.75","1017",,,,,,,"2013","31.90","2","2",,,"Apurímac","432","14"
"2019","2019","2019","2019","2019","2019","2019","2019","2019",,"2014","2024-04-13","1","1",,,"Arequipa","70","14"
"2020","116","1050","1017","2.3","Relict Mes","20","5","3000-3800",,"2015","3.80","6","5",,,"Ayacucho","136","14"
"2020","714.333333","1254.75","1017",,,,,,,"2016","10.48","4","6",,,"Cajamarca","94","14"
"2020","714.333333","1254.75","1017",,,,,,,"2017","15","3","4",,,"Cusco","809","14"
"2020","714.333333","1254.75","1017",,,,,,,"2018","20","5","7",,,"Huancaveli","76","14"
"2020","714.333333","1254.75","1017",,,,,,,"2019","2024-12-29","2","3",,,"Huánuco","53","14"
"2020","714.333333","1254.75","1017",,,,,,,"2020","116.00","20","5",,,"Ica","5","0.2"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Junín","39","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"La Liberta","25","0.8"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Lambayeque","38","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Lima","78","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Loreto","7","0.2"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Madre de D","84","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Moquegua","13","0.4"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Pasco","147","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Piura","41","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Puno","378","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"San Martín","34","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Tacna","13","0.4"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Tumbes","49","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,"Ucayali","54","14"
"2020","714.333333","1254.75","1017",,,,,,,,,,,,,,"2972","100"
